category,product,unit_cost,unit_price,product_id
Agua,Agua caliente 1,56.0,300.0,1
Agua,Agua de Las Misiones x 1500 ml,130.83,250.0,1
Agua,Agua mineral  Sierra de los Padres  600ml,60.0,100.0,1
Agua,Agua Mineral Benedictino 2 L,666.66,900.0,1
Agua,"Agua Mineral Bio Sports 1,5L",101.563,150.0,1
Agua,Agua Mineral H2O 500ml,56.0,100.0,1
Agua,Agua Mineral Natural Villamanaos 2000ml,73.0,150.0,1
Agua,Agua Mineral Secco 500ml,355.5,450.0,1
Agua,Agua Mineral Sin Gas Benedictino 3L,833.33,1100.0,1
Agua,Agua Mineral sin Gas Benedictino 600cc ,541.68,700.0,1
Agua,"Agua Mineral Villa del Sur 1,65ml",186.61,300.0,1
Agua,Agua Vitalíssima 500 ml,55.333,100.0,1
Agua,Aguas de Las Misiones 500ml,56.0,100.0,1
Agua,"Sierra de los Padres 1,5L",124.0,180.0,1
Agua,Sierra de Los Padres Agua Mineral Natural,124.0,220.0,1
Agua,Villamanaos 600ml,36.0,110.0,1
Agua,"Vitalisima 1,5 L",94.0,170.0,1
Agua,Agua sin gas Villavicencio 2 L,255.17,400.0,1
Agua,Agua Mineral Nestle 500 cc,700.0,700.0,1
Agua Saborizada,Aquarius Limonada 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Manzana 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Naranja 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Pera 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Pomelo 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Pomelo Blanco 2250ml,1250.0,1700.0,1
Agua Saborizada,Aquarius Pomelo Rosado 2250ml,1250.0,1700.0,1
Agua Saborizada,Baggio Fresh Naranja 1500ml,697.67,1000.0,1
Agua Saborizada,Baggio Fresh Pomelo 1500ml,697.67,1200.0,1
Agua Saborizada,Bio Balance Manzana 1500ml,0.0,350.0,1
Agua Saborizada,Bio Balance Naranja 1500ml,203.125,350.0,1
Agua Saborizada,Bio Balance Pomelo 1500ml,203.125,350.0,1
Agua Saborizada,Levité Ananá 2250ml,175.0,280.0,1
Agua Saborizada,Levité Manzana  2500ml,204.0,280.0,1
Agua Saborizada,Levité Manzana 2250ml,175.0,290.0,1
Agua Saborizada,Levité Naranja 1000ml,90.0,130.0,1
Agua Saborizada,Levité Naranja 2250ml,175.0,290.0,1
Agua Saborizada,Levité Pomelo 2250ml,171.0,290.0,1
Agua Saborizada,Sierra de Los Padres Manzana 1500ml,794.88,1200.0,1
Agua Saborizada,Sierra de Los Padres Manzana 2250ml,621.66,800.0,1
Agua Saborizada,Sierra de Los Padres Naranja 1500ml,794.88,1200.0,1
Agua Saborizada,Sierra de Los Padres Naranja 1500ml,794.88,1200.0,1
Agua Saborizada,Sierra de Los Padres Naranja 2250ml,621.66,800.0,1
Agua Saborizada,Sierra de Los Padres Naranja 500ml,73.0,1200.0,1
Agua Saborizada,Sierra de Los Padres Pomelo 1500 ml,794.88,1200.0,1
Agua Saborizada,Sierra de Los Padres Pomelo 1500ml,794.88,1200.0,45
Agua Saborizada,Sierra de los Padres Pomelo 2250ml,621.66,800.0,46
Agua Saborizada,Sierra de Los Padres Pomelo 500ml,73.0,110.0,47
Agua Saborizada,Sierras de los Padres Pomelo S/Azúcar 1500ml,794.88,1050.0,48
Agua Saborizada,Baggio Fresh Naranja 1500 ml,550.0,1200.0,49
Aperitivo,Americano Gancia 950 ml ,2799.0,3800.0,50
Aperitivo,Americano Gancia Americano 1250ml,3299.0,4500.0,51
Aperitivo,Americano Gancia Americano 450ml,1500.0,2500.0,52
Aperitivo,Aperol 750ml,3735.0,5100.0,53
Aperitivo,Campari 750ml,4299.0,5800.0,54
Aperitivo,Carpano Rosso 950ml,2880.0,3900.0,55
Aperitivo,CinZano Vermouth Rosso 1000ml,2589.0,3500.0,56
Aperitivo,Smirnoff Ice  Red Berries 473 ml,400.0,900.0,57
Aperitivo,Fernandito 1000ml,319.0,800.0,58
Aperitivo,Fernandito Doble 1L,319.0,800.0,59
Aperitivo,Fernet-Cola Fernando 1000ml,625.0,800.0,60
Aperitivo,Fernet Branca 450ml,4575.0,6200.0,61
Aperitivo,Fernet Branca 750 cc,5434.0,8500.0,62
Aperitivo,Dr Lemon Pomelo 473ml,550.0,900.0,63
Aperitivo,Dr Lemon Vodka 473ml,550.0,900.0,64
Aperitivo,Dr Lemon Limon 473 ml,550.0,900.0,65
Aperitivo,Frizzé Blue Evolution 1000ml,210.0,310.0,66
Aperitivo,Martini Rosso 1000ml,2800.0,4000.0,67
Aperitivo,Dr Lemon Mojito 473ml,550.0,900.0,68
Aperitivo,"Terma Citrus Hierbabuena y Enebro 1,35 L",169.0,390.0,69
Aperitivo,"Terma Pomelo Quina & Cuasia 1,35 L",234.11,390.0,70
Aperitivo,"Terma Pomelo Rosado Peperina y Coriandro 1,35 L",237.99,390.0,71
Aperitivo,"Terma Pomelo Rosado Peperina y Coriandro 1,35 L",234.11,390.0,72
Aperitivo,Fernet 1882 75 cl,3500.0,6000.0,73
Aperitivo,Dr Lemon Limon 1000ml,1498.0,2000.0,74
Aperitivo,Dr Lemon Pomelo 1000ml,1498.0,2000.0,75
Aperitivo,Smirnoff Bitter Citric 700ml,2899.0,4200.0,76
Bebida Blanca,Bols Café al Coñac 200ml,400.0,800.0,77
Bebida Blanca,Café al Coñac Cusenier  20 cl,300.0,800.0,78
Bebida Blanca,Criadores 195ml,488.0,800.0,79
Bebida Blanca,CuernaVaca Tequila 1000ml,488.0,720.0,80
Bebida Blanca,Licor Cusenier Blue Curacao 700ml,900.0,2500.0,81
Bebida Blanca,Licor fino Bar & Pub's Chocolate 200ml,210.0,800.0,82
Bebida Blanca,Licor fino Bar & Pub's Dulce de Leche 200ml,293.44,800.0,83
Bebida Blanca,Licor Fino Café al Cognac Bar&Pubs 200 cc,243.52,800.0,84
Bebida Blanca,Licor Whisky Gloucester 200 cc,281.18,800.0,85
Bebida Blanca,Petaca Whisky Pioneer 200 ml,350.0,800.0,86
Bebida Blanca,Ron Blanco New Style 1000ml,450.0,60.0,87
Bebida Blanca,Skyy Vodka 750ml,713.0,1050.0,88
Bebida Blanca,Smirnoff Citrus 700ml,1425.0,2000.0,89
Bebida Blanca,Smirnoff Tangerine & Lemongrass 700ml,1425.0,2000.0,90
Bebida Blanca,Smirnoff Watermelon 700ml,1425.0,2000.0,91
Bebida Blanca,VAT 69 Apple Vibe 700ml,1900.0,4500.0,92
Bebida Blanca,VAT 69 Blended Scotch Whisky 750ml,1900.0,4500.0,93
