invoice_number,date,employee,account,platform,unit_cost,qty,unit_price,total,product_id
1.0,2022-12-03,Fausto,Caja, ,507.32,8,660.0,4058.56,957
1.0,2022-12-03,Fausto,Caja, ,75.54,20,100.0,1510.8,538
1.0,2022-12-03,Fausto,Caja, ,188.15,10,250.0,1881.5,571
2.0,2022-12-03,Fausto,Caja Azul, ,208.34,8,320.0,1666.72,497
2.0,2022-12-03,Fausto,Caja Azul, ,208.34,8,320.0,1666.72,517
3.0,2022-12-03,Fausto,Caja Azul, ,325.0,12,420.0,3900.0,122
4.0,2022-12-04,Fausto,Ahorros,LogIn,1.0,5000,1.0,5000.0,85
5.0,2022-12-04,Fausto,Ahorros,Mi Recarga,1.0,5000,1.0,5000.0,85
6.0,2022-12-05,Fausto,Caja Azul, ,907.08,12,1300.0,10884.96,60
7.0,2022-12-05,Fausto,Caja, ,461.0,3,560.0,1383.0,1047
7.0,2022-12-05,Fausto,Caja, ,315.38,3,380.0,946.14,1050
7.0,2022-12-05,Fausto,Caja, ,161.53,3,200.0,484.59,1049
8.0,2022-12-06,Fausto,Caja Azul, ,160.0,6,200.0,960.0,262
9.0,2022-12-06,Fausto,Caja Azul, ,160.0,6,220.0,160.0,263
10.0,2022-12-06,Fausto,Caja Azul, ,160.0,6,220.0,960.0,264
11.0,2022-12-06,Fausto,Caja Azul, ,250.0,10,300.0,2500.0,208
11.0,2022-12-06,Fausto,Caja Azul, ,390.0,10,450.0,3900.0,220
11.0,2022-12-06,Fausto,Caja Azul, ,430.0,10,530.0,4300.0,209
11.0,2022-12-06,Fausto,Caja Azul, ,72.5,6,100.0,435.0,542
12.0,2022-12-07,Fausto,Caja Azul, ,400.0,6,540.0,2400.0,1180
13.0,2022-12-07,Fausto,Caja Azul, ,122.33,18,170.0,2201.94,30
14.0,2022-12-07,Fausto,Caja Azul, ,230.65,24,300.0,5535.6,108
15.0,2022-12-07,Fausto,Caja Azul, ,202.41,7,300.0,1416.87,410
15.0,2022-12-07,Fausto,Caja Azul, ,245.17,7,320.0,1716.19,464
15.0,2022-12-07,Fausto,Caja Azul, ,23.36,50,60.0,1168.0,572
16.0,2022-12-07,Marisa y Kuky,Caja Azul, ,150.0,48,240.0,7200.0,109
16.0,2022-12-07,Marisa y Kuky,Kuky y Marisa, ,12.5,48,20.0,600.0,781
16.0,2022-12-07,Marisa y Kuky,Kuky y Marisa, ,17.57,36,25.0,632.52,778
16.0,2022-12-07,Marisa y Kuky,Kuky y Marisa, ,150.0,5,230.0,750.0,339
