sales_id,invoice_number,date,employee,payment_type,platform,qty,total,product_id
28013,19615,2024-01-22,Marisa y Kuky,Efectivo, ,1,1800.0,394
14484,10016,2023-05-30,Fausto,Efectivo, ,1,130.0,356
14908,10312,2023-06-05,Fausto,Efectivo, ,1,130.0,356
15525,10734,2023-06-14,Fausto,Efectivo, ,3,390.0,356
15737,10876,2023-06-18,Fausto,Efectivo, ,5,650.0,356
15870,10975,2023-06-20,Marisa y Kuky,Efectivo, ,3,390.0,356
16380,11345,2023-06-30,Fausto,Efectivo, ,1,130.0,356
16643,11535,2023-07-04,Marisa y Kuky,Efectivo, ,1,130.0,356
17054,11822,2023-07-09,Marisa y Kuky,Efectivo, ,1,130.0,356
17249,11954,2023-07-13,Fausto,Efectivo, ,2,260.0,356
17285,11976,2023-07-14,Fausto,Efectivo, ,2,260.0,356
17471,12107,2023-07-18,Marisa y Kuky,Efectivo, ,2,260.0,356
17714,12255,2023-07-21,Marisa y Kuky,Efectivo, ,4,520.0,356
17837,12349,2023-07-23,Marisa y Kuky,Efectivo, ,1,130.0,356
17866,12369,2023-07-25,Marisa y Kuky,Efectivo, ,4,520.0,356
17975,12444,2023-07-27,Marisa y Kuky,Efectivo, ,2,260.0,356
19385,13410,2023-08-21,Fausto,Efectivo, ,1,140.0,356
19406,13424,2023-08-21,Marisa y Kuky,Efectivo, ,2,280.0,356
19696,13632,2023-08-26,Marisa y Kuky,Efectivo, ,1,150.0,356
19758,13665,2023-08-27,Marisa y Kuky,Efectivo, ,1,150.0,356
20724,14362,2023-09-13,Marisa y Kuky,Efectivo, ,1,150.0,356
20809,14429,2023-09-15,Fausto,Efectivo, ,1,150.0,356
20878,14477,2023-09-16,Marisa y Kuky,Efectivo, ,1,150.0,356
21194,14702,2023-09-22,Fausto,Efectivo, ,1,200.0,356
21418,14868,2023-09-25,Marisa y Kuky,Efectivo, ,2,400.0,356
21651,15039,2023-10-01,Marisa y Kuky,Efectivo, ,2,400.0,356
21659,15044,2023-10-01,Marisa y Kuky,Efectivo, ,1,200.0,356
21723,15085,2023-10-02,Marisa y Kuky,Efectivo, ,10,2000.0,356
21937,15232,2023-10-05,Marisa y Kuky,Efectivo, ,4,800.0,356
19922,13786,2023-08-30,Marisa y Kuky,Efectivo, ,1,500.0,394
14165,9763,2023-05-24,Fausto,Efectivo, ,1,320.0,725
16746,11605,2023-07-05,Marisa y Kuky,Efectivo, ,1,1600.0,394
16851,11681,2023-07-07,Fausto,Efectivo, ,1,1800.0,394
17129,11871,2023-07-11,Fausto,Efectivo, ,1,1600.0,394
17966,12436,2023-07-27,Marisa y Kuky,Efectivo, ,1,1500.0,394
18355,12711,2023-08-03,Marisa y Kuky,Efectivo, ,1,1600.0,394
18375,12728,2023-08-03,Marisa y Kuky,Efectivo, ,1,1600.0,394
18821,13032,2023-08-11,Marisa y Kuky,Efectivo, ,1,1600.0,394
19454,13457,2023-08-22,Marisa y Kuky,Efectivo, ,1,1600.0,394
19532,13515,2023-08-23,Marisa y Kuky,Efectivo, ,1,1600.0,394
19568,13541,2023-08-24,Marisa y Kuky,Efectivo, ,1,1600.0,394
19571,13543,2023-08-24,Marisa y Kuky,Efectivo, ,1,1600.0,394
19819,13713,2023-08-28,Marisa y Kuky,Efectivo, ,1,1600.0,394
20373,14103,2023-09-07,Marisa y Kuky,Efectivo, ,1,1600.0,394
20823,14440,2023-09-15,Marisa y Kuky,Efectivo, ,1,1600.0,394
21111,14646,2023-09-20,Marisa y Kuky,Efectivo, ,1,1600.0,394
24212,16875,2023-11-22,Marisa y Kuky,Efectivo, ,1,1600.0,394
24263,16908,2023-11-23,Marisa y Kuky,Efectivo, ,1,1600.0,394
24703,17211,2023-11-30,Marisa y Kuky,Efectivo, ,1,1600.0,394
24716,17222,2023-11-30,Marisa y Kuky,Efectivo, ,1,1600.0,394
25121,17506,2023-12-07,Marisa y Kuky,Efectivo, ,1,1700.0,394
16405,11359,2023-06-30,Marisa y Kuky,Efectivo, ,2,240.0,372
16629,11525,2023-07-03,Marisa y Kuky,Efectivo, ,1,120.0,372
16952,11752,2023-07-08,Marisa y Kuky,Efectivo, ,2,240.0,372
20039,13861,2023-09-01,Marisa y Kuky,Efectivo, ,2,300.0,372
15300,10583,2023-06-11,Fausto,Efectivo, ,4,60.0,655
15390,10648,2023-06-12,Marisa y Kuky,Efectivo, ,4,60.0,655
17377,12041,2023-07-16,Marisa y Kuky,Efectivo, ,13,195.0,655
17606,12185,2023-07-20,Marisa y Kuky,Efectivo, ,1,15.0,655
17873,12373,2023-07-25,Marisa y Kuky,Efectivo, ,13,195.0,655
17886,12383,2023-07-25,Marisa y Kuky,Efectivo, ,5,75.0,655
17895,12392,2023-07-25,Fausto,Efectivo, ,2,30.0,655
18353,12710,2023-08-03,Marisa y Kuky,Efectivo, ,6,90.0,655
18834,13042,2023-08-11,Fausto,Efectivo, ,4,60.0,655
19003,13157,2023-08-14,Fausto,Efectivo, ,2,40.0,655
19210,13291,2023-08-18,Fausto,Efectivo, ,2,40.0,655
20436,14152,2023-09-09,Marisa y Kuky,Efectivo, ,1,20.0,655
20450,14163,2023-09-09,Marisa y Kuky,Efectivo, ,3,60.0,655
21084,14625,2023-09-20,Marisa y Kuky,Efectivo, ,1,20.0,655
16034,11096,2023-06-23,Marisa y Kuky,Efectivo, ,1,1500.0,394
19129,13234,2023-08-16,Fausto,Efectivo, ,1,1500.0,394
19905,13774,2023-08-30,Fausto,Efectivo, ,1,1500.0,394
22600,15707,2023-10-18,Marisa y Kuky,Efectivo, ,1,1500.0,394
24651,17173,2023-11-28,Fausto,Efectivo, ,1,3300.0,394
14549,10063,2023-05-31,Fausto,Efectivo, ,1,1200.0,394
14983,10363,2023-06-06,Fausto,Efectivo, ,1,1800.0,394
15156,10482,2023-06-09,Fausto,Efectivo, ,1,1800.0,394
15158,10483,2023-06-09,Fausto,Efectivo, ,1,1800.0,394
15383,10644,2023-06-12,Marisa y Kuky,Efectivo,Log In,1,1800.0,394
15467,10698,2023-06-14,Fausto,Efectivo, ,2,3600.0,394
15751,10884,2023-06-18,Fausto,Efectivo, ,1,1800.0,394
