product_code,category,product,unit_cost,unit_price,product_id
AGUACALIENTE,Agua,Agua caliente 1,56.0,300.0,1
7798164280033,Agua,Agua de Las Misiones x 1500 ml,130.83,250.0,1
7798065733454,Agua,Agua mineral  Sierra de los Padres  600ml,60.0,100.0,1
7790895647703,Agua,Agua Mineral Benedictino 2 L,666.66,900.0,1
7792758251508,Agua,"Agua Mineral Bio Sports 1,5L",101.563,150.0,1
7792758250501,Agua,Agua Mineral H2O 500ml,56.0,100.0,1
7798113301611,Agua,Agua Mineral Natural Villamanaos 2000ml,73.0,150.0,1
7798065730040,Agua,Agua Mineral Secco 500ml,355.5,450.0,1
7790895648564,Agua,Agua Mineral Sin Gas Benedictino 3L,833.33,1100.0,1
7790895647741,Agua,Agua Mineral sin Gas Benedictino 600cc ,541.68,700.0,1
7790315000149,Agua,"Agua Mineral Villa del Sur 1,65ml",186.61,300.0,1
7798178040104,Agua,Agua Vitalíssima 500 ml,55.333,100.0,1
7798164280019,Agua,Aguas de Las Misiones 500ml,56.0,100.0,1
7798065733485,Agua,"Sierra de los Padres 1,5L",124.0,180.0,1
7798065730033,Agua,Sierra de Los Padres Agua Mineral Natural,124.0,220.0,1
7798113300270,Agua,Villamanaos 600ml,36.0,110.0,1
7798178040111,Agua,"Vitalisima 1,5 L",94.0,170.0,1
7790315000422,Agua,Agua sin gas Villavicencio 2 L,255.17,400.0,1
7792799000899,Agua,Agua Mineral Nestle 500 cc,700.0,700.0,1
7790895008504,Agua Saborizada,Aquarius Limonada 2250ml,1250.0,1700.0,1
7790895003301,Agua Saborizada,Aquarius Manzana 2250ml,1250.0,1700.0,1
7790895003325,Agua Saborizada,Aquarius Naranja 2250ml,1250.0,1700.0,1
7790895003295,Agua Saborizada,Aquarius Pera 2250ml,1250.0,1700.0,1
7790895646621,Agua Saborizada,Aquarius Pomelo 2250ml,1250.0,1700.0,1
7790895003288,Agua Saborizada,Aquarius Pomelo Blanco 2250ml,1250.0,1700.0,1
7790895004971,Agua Saborizada,Aquarius Pomelo Rosado 2250ml,1250.0,1700.0,1
7790036001562,Agua Saborizada,Baggio Fresh Naranja 1500ml,697.67,1000.0,1
7790036001579,Agua Saborizada,Baggio Fresh Pomelo 1500ml,697.67,1200.0,1
7792758372111,Agua Saborizada,Bio Balance Manzana 1500ml,0.0,350.0,1
7792758372159,Agua Saborizada,Bio Balance Naranja 1500ml,203.125,350.0,1
7792758372135,Agua Saborizada,Bio Balance Pomelo 1500ml,203.125,350.0,1
7790315101327,Agua Saborizada,Levité Ananá 2250ml,175.0,280.0,1
7790315101099,Agua Saborizada,Levité Manzana  2500ml,204.0,280.0,1
7790315000880,Agua Saborizada,Levité Manzana 2250ml,175.0,290.0,1
7798062544701,Agua Saborizada,Levité Naranja 1000ml,90.0,130.0,1
7798062540291,Agua Saborizada,Levité Naranja 2250ml,175.0,290.0,1
7798062540284,Agua Saborizada,Levité Pomelo 2250ml,171.0,290.0,1
7798065730361,Agua Saborizada,Sierra de Los Padres Manzana 1500ml,794.88,1200.0,1
7798065731030,Agua Saborizada,Sierra de Los Padres Manzana 2250ml,621.66,800.0,1
7798065730323,Agua Saborizada,Sierra de Los Padres Naranja 1500ml,794.88,1200.0,1
7798065730323,Agua Saborizada,Sierra de Los Padres Naranja 1500ml,794.88,1200.0,1
7798065731009,Agua Saborizada,Sierra de Los Padres Naranja 2250ml,621.66,800.0,1
7798065730330,Agua Saborizada,Sierra de Los Padres Naranja 500ml,73.0,1200.0,1
7798065730347,Agua Saborizada,Sierra de Los Padres Pomelo 1500 ml,794.88,1200.0,1
7798065730347,Agua Saborizada,Sierra de Los Padres Pomelo 1500ml,794.88,1200.0,45
7798065730989,Agua Saborizada,Sierra de los Padres Pomelo 2250ml,621.66,800.0,46
7790036975405,Agua Saborizada,Sierra de Los Padres Pomelo 500ml,73.0,110.0,47
7798065733744,Agua Saborizada,Sierras de los Padres Pomelo S/Azúcar 1500ml,794.88,1050.0,48
7790036974750,Agua Saborizada,Baggio Fresh Naranja 1500 ml,550.0,1200.0,49
7790950000160,Aperitivo,Americano Gancia 950 ml ,2799.0,3800.0,50
7790950138870,Aperitivo,Americano Gancia Americano 1250ml,3299.0,4500.0,51
7790950000191,Aperitivo,Americano Gancia Americano 450ml,1500.0,2500.0,52
7891136057029,Aperitivo,Aperol 750ml,3735.0,5100.0,53
7891136052000,Aperitivo,Campari 750ml,4299.0,5800.0,54
7790290008192,Aperitivo,Carpano Rosso 950ml,2880.0,3900.0,55
7791200200552,Aperitivo,CinZano Vermouth Rosso 1000ml,2589.0,3500.0,56
7791250003189,Aperitivo,Smirnoff Ice  Red Berries 473 ml,400.0,900.0,57
7798113300508,Aperitivo,Fernandito 1000ml,319.0,800.0,58
7798113300515,Aperitivo,Fernandito Doble 1L,319.0,800.0,59
7793653231602,Aperitivo,Fernet-Cola Fernando 1000ml,625.0,800.0,60
7790290001179,Aperitivo,Fernet Branca 450ml,4575.0,6200.0,61
7790290101602,Aperitivo,Fernet Branca 750 cc,5434.0,8500.0,62
7790950140859,Aperitivo,Dr Lemon Pomelo 473ml,550.0,900.0,63
7790950202823,Aperitivo,Dr Lemon Vodka 473ml,550.0,900.0,64
7790950202816,Aperitivo,Dr Lemon Limon 473 ml,550.0,900.0,65
7791540053184,Aperitivo,Frizzé Blue Evolution 1000ml,210.0,310.0,66
7790950134810,Aperitivo,Martini Rosso 1000ml,2800.0,4000.0,67
7790950144055,Aperitivo,Dr Lemon Mojito 473ml,550.0,900.0,68
7790950135992,Aperitivo,"Terma Citrus Hierbabuena y Enebro 1,35 L",169.0,390.0,69
7790950133257,Aperitivo,"Terma Pomelo Quina & Cuasia 1,35 L",234.11,390.0,70
7790950141610,Aperitivo,"Terma Pomelo Rosado Peperina y Coriandro 1,35 L",237.99,390.0,71
7790950133363,Aperitivo,"Terma Pomelo Rosado Peperina y Coriandro 1,35 L",234.11,390.0,72
