purchase_id,date,employee,account,platform,category,product,unit_cost,qty,unit_price,total,product_id
1.0,2022-12-03 09:37:38,Fausto,Caja,,Panificado,Pan Dulce Milanés Las Colonias 600 grs,507.32,8,660,4058.56,957.0
1.0,2022-12-03 09:37:38,Fausto,Caja,,Golosina,Garrapiñadas de Maní Alteza 80g,75.54,20,100,1510.8,538.0
1.0,2022-12-03 09:37:38,Fausto,Caja,,Golosina,Turrón de Maní Fel-Fort,188.15,10,250,1881.5,571.0
2.0,2022-12-03 10:09:28,Fausto,Caja Azul,,Gaseosa,Fanta Retornable 2000ml,208.34,8,320,1666.72,497.0
2.0,2022-12-03 10:09:28,Fausto,Caja Azul,,Gaseosa,Sprite Retornable 2000ml,208.34,8,320,1666.72,517.0
3.0,2022-12-03 12:45:22,Fausto,Caja Azul,,Cerveza,Quilmes Bajo Cero Retornable 1000ml,325,12,420,3900,122.0
4.0,2022-12-04 13:00:40,Fausto,Ahorros,LogIn,Carga,Carga Virtual,1,5000,1,5000,85.0
5.0,2022-12-04 13:01:02,Fausto,Ahorros,Mi Recarga,Carga,Carga Virtual,1,5000,1,5000,85.0
6.0,2022-12-05 11:21:24,Fausto,Caja Azul,,Aperitivo,Fernet Branca 450ml,907.08,12,1300,10884.96,60.0
7.0,2022-12-05 14:03:39,Fausto,Caja,,Snack,Lay's Clásicas 145g,461,3,560,1383,1047.0
7.0,2022-12-05 14:03:39,Fausto,Caja,,Snack,Lay's Clásicas 94g,315.38,3,380,946.14,1050.0
7.0,2022-12-05 14:03:39,Fausto,Caja,,Snack,Lay's Clásicas 45g,161.53,3,200,484.59,1049.0
8.0,2022-12-06 10:46:18,Fausto,Caja Azul,,Energizante,Powerade Blue 500ml,160,6,200,960,262.0
9.0,2022-12-06 10:50:05,Fausto,Caja Azul,,Energizante,Powerade Frutos Tropicales 500ml,160,6,220,160,263.0
10.0,2022-12-06 10:50:35,Fausto,Caja Azul,,Energizante,Powerade Manzana 500ml,160,6,220,960,264.0
11.0,2022-12-06 12:53:39,Fausto,Caja Azul,,Cigarrillo,Lucky Strike  Convertible 12,250,10,300,2500,208.0
11.0,2022-12-06 00:00:00,Fausto,Caja Azul,,Cigarrillo,Philip Morris 20 Común 20,390,10,450,3900,220.0
11.0,2022-12-06 00:00:00,Fausto,Caja Azul,,Cigarrillo,Lucky Strike  Convertible Box 20,430,10,530,4300,209.0
11.0,2022-12-06 00:00:00,Fausto,Caja Azul,,Golosina,Gomitas Grandes Mogul 35g,72.5,6,100,435,542.0
12.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Vino,Marquéz del Sur Blend Magnum 1125ml,400,6,540,2400,1180.0
13.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Agua Saborizada,Baggio Fresh Pomelo 1500ml,122.33,18,170,2201.94,30.0
14.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Cerveza,Heineken  473ml,230.65,24,300,5535.6,108.0
15.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Galletita,Diversión Arcor 398g,202.41,7,300,1416.87,410.0
15.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Galletita,Surtido Bagley 398g,245.17,7,320,1716.19,464.0
15.0,2022-12-07 00:00:00,Fausto,Caja Azul,,Golosina,Turrón Maní Arcor 25g,23.36,50,60,1168,572.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja Azul,,Cerveza,Imperial Golden  473ml,150,48,240,7200,109.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,"Caldo de Verduras Maggi 12 u x 9,5 grs",12.5,48,20,600,781.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,"Caldo de Gallina knorr 12 u x 9,5 grs",17.57,36,25,632.52,778.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Farmacia,Ladysoft Normal con alas x 8 u,150,5,230,750,339.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Farmacia,Ladysoft Ultradelgada con alas x 8 u,150,5,230,750,340.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,Esponja Scotch Brite 3M Lila,50,6,100,300,810.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,Esponja Scotch Brite 3M Amarilla,50,6,100,300,809.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,Duraznos en Mitades 820 grs,329.99,5,450,1649.95,801.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Mercadito,Mayonesa Hellmann´s Clásica 500 cm3,200,3,280,600,854.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Galletita,Pepitos 119 grs,125,8,230,1000,444.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Cerveza,Miller  473ml,160.5,24,240,3852,114.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Cerveza,Imperial Lager  473ml,150,48,240,7200,112.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Cerveza,Schneider  473ml,160.5,48,220,7704,129.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Varios,Rollo de Cocina Sussex 50,66.67,9,100,600.03,1146.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Gaseosa,Paso de Los Toros Tónica 1500ml,200,6,280,1200,500.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Panificado,Budín Valenciano 170 grs,100,15,200,1500,951.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Farmacia,Colgate Herbal Blanqueadora 90 grs,200,2,350,400,303.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Farmacia,Colgate Ultra Blanco 90 grs,227.76,2,350,455.52,304.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Kuky y Marisa,,Farmacia,Kolynos 90 grs,247.99,2,350,495.98,336.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Jugo,Jugo Tang Naranja Banana 18 grs,30.39,18,60,547.02,602.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Jugo,Tang Pomelo Rosado 18 grs,30.39,18,60,547.02,613.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Jugo,Jugo Tang Uva 18 grs,30.39,18,60,547.02,604.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Jugo,Jugo Tang Pera 18 grs,30.39,18,60,547.02,603.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Jugo,Tang Multifruta 18g,30.39,18,60,547.02,609.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Mercadito,"Caldo de Gallina knorr 12 u x 9,5 grs",18,36,25,648,778.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Mercadito,"Caldo de Verduras Maggi 12 u x 9,5 grs",13,48,20,624,781.0
16.0,2022-12-07 00:00:00,Marisa y Kuky,Caja,,Gaseosa,Coca Cola 2250ml,324.74,12,420,3896.88,488.0
17.0,2022-12-08 00:00:00,Marisa y Kuky,Caja,,Lácteos,Queso Rallado Tregar 40g,157.62,10,220,1576.2,650.0
17.0,2022-12-08 00:00:00,Marisa y Kuky,Caja,,Pastas,Ravioles con Ricota DeViano 500g,280.74,5,380,1403.7,972.0
18.0,2022-12-08 00:00:00,Fausto,Caja Azul,,Cerveza,Amstel  473ml,0,6,230,0,86.0
18.0,2022-12-08 00:00:00,Fausto,Caja Azul,,Cerveza,Schneider  473ml,175.45,6,220,1052.7,129.0
18.0,2022-12-08 00:00:00,Fausto,Caja Azul,,Cerveza,Imperial Golden  473ml,199.37,6,240,1196.22,109.0
18.0,2022-12-08 00:00:00,Fausto,Caja Azul,,Cerveza,Miller  473ml,223.3,6,240,1339.8,114.0
18.0,2022-12-08 00:00:00,Fausto,Caja Azul,,Gaseosa,Coca Cola 500ml,166.67,6,220,1000.02,490.0
